"id","fet","slope"
"26","buss_service_rt + clean_rt",0.234540873221191
"15","location_rt + service_rt",0.237211834109945
"19","frontdesk_rt + service_rt",0.258340450944487
"17","location_rt + clean_rt",0.277873515637683
"18","location_rt + sleep_rt",0.279506821176813
"14","location_rt + frontdesk_rt",0.342688770014385
"21","frontdesk_rt + clean_rt",0.369046140902118
"16","location_rt + buss_service_rt",0.436443128424874
"10","value_rt + service_rt",0.456356474888549
"13","value_rt + sleep_rt",0.464030929654078
"1","rooms_rt + value_rt",0.472959534024681
"28","clean_rt + sleep_rt",0.481954297190165
"24","service_rt + clean_rt",0.492701718181579
"4","rooms_rt + service_rt",0.493434484743013
"25","service_rt + sleep_rt",0.499288280336288
"12","value_rt + clean_rt",0.507722111491033
"20","frontdesk_rt + buss_service_rt",0.512639285330374
"6","rooms_rt + clean_rt",0.546441445446096
"7","rooms_rt + sleep_rt",0.551473319477602
"3","rooms_rt + frontdesk_rt",0.604215281316551
"23","service_rt + buss_service_rt",0.65930317903929
"8","value_rt + location_rt",0.681451182662282
"5","rooms_rt + buss_service_rt",0.686626470553924
"9","value_rt + frontdesk_rt",0.703096526095291
"2","rooms_rt + location_rt",0.712078774730945
"11","value_rt + buss_service_rt",0.752345121749256
"22","frontdesk_rt + sleep_rt",NA
"27","buss_service_rt + sleep_rt",NA
